physician_id,first_name,last_name,specialty,state,years_practice,med_school_tier
NPI4072179899,Richard,Jones,General Surgery,TN,20,Top 20
NPI2945008495,Linda,Thomas,Internal Medicine,WI,32,Other
NPI5364642251,Linda,Brown,Dermatology,VA,7,Other
NPI7449988333,Michael,Brown,Cardiology,AZ,14,Other
NPI3580228228,William,Smith,General Surgery,FL,24,Other
NPI7819448686,Ahmed,Chen,Pulmonology,MO,28,Top 50
NPI6668089971,Mary,Nguyen,General Surgery,MA,12,Other
NPI8088063062,James,Murphy,Orthopedic Surgery,IL,5,Top 20
NPI3258186659,Thomas,Clark,Dermatology,GA,20,Other
NPI6679253301,Michael,Rodriguez,Cardiology,WA,25,Other
NPI2383617515,Carlos,Clark,Internal Medicine,CA,30,Other
NPI4274172839,Ahmed,Smith,Internal Medicine,IN,1,Top 20
NPI7519240852,Fatima,Chen,Endocrinology,IL,1,Top 20
NPI6685015469,Jessica,Kim,Orthopedic Surgery,TX,16,Other
NPI2690746527,Jessica,Jones,Neurology,OH,22,Other
NPI8725084047,Richard,Jones,Dermatology,IN,1,Other
NPI1480158841,Jennifer,Clark,Internal Medicine,IL,7,Other
NPI6356941196,Karen,Murphy,Orthopedic Surgery,NJ,17,Other
NPI9854384501,Elena,Martinez,Internal Medicine,IN,11,Top 50
NPI5783542586,Linda,Williams,Family Medicine,CA,28,Other
NPI8206046378,Mary,Anderson,Orthopedic Surgery,TN,2,Top 50
NPI6356628758,Thomas,Smith,Emergency Medicine,IL,35,Other
NPI8047794833,Susan,Patel,Psychiatry,AZ,7,Other
NPI6900347217,Fatima,Taylor,Cardiology,NY,18,Other
NPI7220188130,Elena,Johnson,Psychiatry,FL,39,Other
NPI3050300359,Kevin,Clark,Cardiology,TN,26,Top 50
NPI7676388221,Susan,Wang,Gastroenterology,IN,39,Other
NPI3141188979,Anita,O'Brien,Orthopedic Surgery,WI,1,Other
NPI9825762475,Patricia,Clark,Internal Medicine,AZ,29,Other
NPI3050084718,Susan,Smith,Internal Medicine,MI,3,Other
NPI3130156032,Linda,Chen,Internal Medicine,NY,24,Other
NPI8728058083,Anita,Chen,Emergency Medicine,IL,13,Top 50
NPI3186872757,Charles,Chen,Oncology,WA,31,Other
NPI4248125141,David,Davis,General Surgery,OH,5,Other
NPI7431761449,Robert,Taylor,Neurology,MI,35,Top 50
NPI2428737221,Fatima,O'Brien,Psychiatry,NY,19,Other
NPI2431645793,Lisa,Johnson,Internal Medicine,NC,21,Top 50
NPI5377225808,Elena,White,Emergency Medicine,PA,23,Top 50
NPI3193270787,Jessica,Chen,Family Medicine,FL,2,Top 20
NPI3120921599,Robert,Chen,Psychiatry,FL,13,Other
NPI1083150292,David,Lee,Orthopedic Surgery,NJ,28,Other
NPI4334046320,Charles,Chen,Neurology,GA,38,Top 50
NPI3864254991,Linda,O'Brien,Pulmonology,TX,39,Top 20
NPI1280402297,John,Nguyen,Internal Medicine,NJ,21,Top 50
NPI6591098603,Carlos,Brown,Endocrinology,NY,11,Top 50
NPI6639896637,Sarah,Davis,Family Medicine,CA,19,Other
NPI1637204245,Susan,Martinez,Oncology,FL,19,Top 50
NPI3853374065,Thomas,Anderson,Internal Medicine,NC,16,Top 50
NPI8855249787,Ahmed,Anderson,Internal Medicine,WI,15,Top 20
NPI6239503613,James,Miller,Family Medicine,PA,34,Other
NPI4707772515,Jessica,Patel,Family Medicine,IL,16,Other
NPI5185917355,Linda,Brown,Oncology,PA,2,Other
NPI2874519949,John,Chen,Psychiatry,GA,29,Other
NPI8306933505,Mary,White,Neurology,MA,26,Other
NPI9226042348,Jessica,Rodriguez,Family Medicine,OH,15,Other
NPI9195976379,Thomas,Smith,Family Medicine,AZ,25,Other
NPI3015409525,Sarah,Wilson,Internal Medicine,MO,37,Other
NPI3796662409,Fatima,Murphy,Psychiatry,MD,37,Top 20
NPI2445604973,Jessica,Moore,Family Medicine,VA,31,Other
NPI3764810202,Karen,Martin,Cardiology,MA,23,Other
NPI3995248348,Carlos,Smith,Family Medicine,MD,2,Other
NPI6697951632,Lisa,Nguyen,Oncology,TN,20,Top 50
NPI2706817433,Anita,Davis,Internal Medicine,IL,32,Other
NPI9274572318,Michael,Rodriguez,Psychiatry,FL,33,Other
NPI1927895230,Fatima,Taylor,Psychiatry,FL,31,Top 50
NPI1061902099,Wei,Garcia,Orthopedic Surgery,MO,39,Top 20
NPI8694506156,Karen,Lee,Neurology,VA,21,Top 50
NPI7333928269,James,Moore,Neurology,IL,5,Other
NPI4198238832,Thomas,Moore,Family Medicine,OH,20,Other
NPI6359497352,Elena,Rodriguez,General Surgery,IL,13,Other
NPI3011896907,Lisa,Anderson,Rheumatology,IN,33,Other
NPI2515506837,James,Taylor,Oncology,WA,31,Other
NPI5240342215,William,Thompson,Psychiatry,MO,17,Top 50
NPI4178690467,Karen,Garcia,Family Medicine,OH,16,Top 50
NPI6537070454,Carlos,Wang,Endocrinology,MI,7,Top 50
NPI2963342660,Jessica,Miller,Orthopedic Surgery,FL,2,Other
NPI6966349304,Elena,Davis,Gastroenterology,WI,13,Top 20
NPI7901753681,Fatima,Smith,Pulmonology,NJ,10,Top 50
NPI2499725287,William,Anderson,Endocrinology,VA,11,Other
NPI1394724550,Jennifer,Lee,Endocrinology,NC,39,Other
NPI4956286377,Anita,Kim,General Surgery,IL,27,Top 20
NPI7966216773,Karen,Murphy,Family Medicine,MD,22,Other
NPI6857018519,Elena,Chen,Dermatology,MI,7,Other
NPI7316935483,Anita,Martinez,Endocrinology,AZ,33,Other
NPI4625554059,Richard,Wang,Internal Medicine,CA,26,Other
NPI3114509907,Mary,Garcia,Cardiology,IL,21,Top 20
NPI5786009589,Anita,Miller,Dermatology,IN,19,Top 50
NPI2839291243,Karen,Anderson,Cardiology,TX,22,Top 50
NPI7536058272,Patricia,Martin,Family Medicine,FL,33,Other
NPI2772698103,Sarah,Miller,Family Medicine,IN,29,Other
NPI3621369400,James,O'Brien,Internal Medicine,OH,19,Other
NPI5558903004,William,Wilson,Family Medicine,IL,27,Other
NPI5380389406,David,Taylor,Orthopedic Surgery,VA,37,Top 50
NPI6407644387,Jessica,Thompson,Cardiology,NY,13,Top 20
NPI4937001404,Thomas,Thomas,Dermatology,CA,36,Top 50
NPI9275259775,Elena,Thomas,Dermatology,CA,24,Other
NPI8559406846,David,Clark,Family Medicine,TX,8,Other
NPI8912021060,Ahmed,Hernandez,Internal Medicine,NY,38,Other
NPI6665649142,Kevin,Brown,Psychiatry,AZ,27,Top 50
NPI6715071242,Ahmed,Kim,Internal Medicine,IL,16,Other
NPI6482788152,Linda,Kim,Family Medicine,TX,9,Top 50
NPI4913957389,Wei,Miller,Emergency Medicine,CA,36,Other
NPI3898954009,William,Singh,Emergency Medicine,MI,33,Top 20
NPI6328025986,Joseph,Taylor,General Surgery,IN,2,Other
NPI1229786534,Lisa,Jones,Family Medicine,OH,25,Top 50
NPI1067107882,William,Garcia,Orthopedic Surgery,TX,5,Top 50
NPI8664776435,James,Kim,Orthopedic Surgery,PA,12,Other
NPI1417816402,Elena,Miller,Family Medicine,MI,23,Top 50
NPI5723156352,Priya,Moore,Neurology,NY,10,Other
NPI6534889865,Patricia,Nguyen,Cardiology,WI,20,Top 50
NPI2783541066,Susan,Singh,Internal Medicine,TN,17,Other
NPI9061577543,Linda,Moore,Endocrinology,OH,23,Top 50
NPI2710861945,Michelle,O'Brien,Internal Medicine,WI,32,Other
NPI8960634885,Kevin,Martinez,Internal Medicine,OH,7,Other
NPI7866912423,Wei,Murphy,Dermatology,FL,32,Other
NPI3166686581,Jessica,Davis,Emergency Medicine,MD,9,Top 50
NPI2356697496,Mary,Johnson,Rheumatology,WI,2,Other
NPI3846094391,Linda,Kim,Dermatology,OH,18,Top 20
NPI4581555096,John,Nguyen,Emergency Medicine,VA,12,Other
NPI3212062088,Fatima,O'Brien,Internal Medicine,NY,8,Other
NPI9990023937,John,O'Brien,Oncology,WA,17,Other
NPI3066871025,Wei,Brown,Family Medicine,AZ,34,Other
NPI8475713442,Kevin,Thompson,Cardiology,MA,23,Top 50
NPI2432059723,Barbara,Kim,General Surgery,VA,29,Top 20
NPI9822201626,Wei,Thompson,Oncology,MA,6,Top 50
NPI3029711124,Raj,Smith,Oncology,VA,3,Other
NPI4795196992,Richard,Johnson,Internal Medicine,IN,14,Top 50
NPI6027076600,Jessica,Patel,Internal Medicine,NY,31,Other
NPI2082571436,Michael,Singh,Gastroenterology,MI,35,Other
NPI8351380606,Richard,Garcia,Cardiology,NC,4,Other
NPI3472169793,Raj,Johnson,Internal Medicine,NJ,19,Other
NPI5943429113,Lisa,Thomas,Family Medicine,FL,16,Top 20
NPI5946704295,Michael,Martinez,Endocrinology,OH,30,Top 50
NPI6423765870,Sarah,Clark,Psychiatry,WI,9,Other
NPI1499373878,Priya,O'Brien,Endocrinology,FL,19,Top 50
NPI2517568856,John,Martin,Internal Medicine,WA,34,Top 50
NPI2450730186,Ahmed,Rodriguez,Internal Medicine,AZ,19,Top 50
NPI3718461334,Michael,Miller,Dermatology,MI,31,Other
NPI2304227411,William,Clark,Neurology,CA,25,Other
NPI9297291886,Richard,Hernandez,Neurology,CA,24,Top 50
NPI5616590054,Sarah,Moore,Neurology,IL,11,Top 50
NPI6612176328,Anita,Johnson,General Surgery,FL,39,Other
NPI4217393578,Michael,Garcia,Cardiology,TX,10,Top 50
NPI3486215269,Linda,Garcia,Family Medicine,NY,37,Other
NPI5528594531,Susan,Moore,Rheumatology,NY,39,Other
NPI3648906773,Elena,Garcia,Family Medicine,IN,20,Other
NPI4092813331,Kevin,Brown,Dermatology,WA,34,Other
NPI5074757867,Jessica,Thompson,Endocrinology,CA,28,Other
NPI5551603184,Wei,Murphy,General Surgery,WA,29,Top 50
NPI9858826105,Anita,Williams,Dermatology,FL,3,Other
NPI3009903293,Elena,Martin,Endocrinology,NC,6,Other
NPI5391785483,Wei,Rodriguez,Pulmonology,CA,3,Other
NPI2345605655,Thomas,Thomas,Psychiatry,TX,2,Other
NPI4149993094,Michelle,Garcia,Dermatology,FL,33,Top 50
NPI7455796467,Linda,Williams,Family Medicine,NC,7,Other
NPI2570159293,David,Rodriguez,Endocrinology,MI,1,Top 50
NPI6232161767,Priya,Thomas,Rheumatology,GA,37,Top 50
NPI4750309211,James,Brown,Internal Medicine,WA,11,Other
NPI1464215899,Sarah,Singh,Family Medicine,MA,32,Other
NPI9397677172,Elena,Wang,Pulmonology,MA,38,Other
NPI4722428262,Jennifer,Kim,Neurology,VA,21,Top 50
NPI8055338820,Carlos,Williams,Internal Medicine,NJ,37,Top 20
NPI4746821398,Richard,Williams,Family Medicine,MI,38,Other
NPI9436242893,Elena,Miller,Internal Medicine,PA,6,Other
NPI3614233009,Lisa,Jones,Cardiology,MI,6,Other
NPI4710075846,Robert,Jackson,Pulmonology,CA,15,Other
NPI7829778161,Ahmed,Taylor,Oncology,WI,22,Other
NPI4093005837,Mary,Nguyen,Family Medicine,GA,31,Other
NPI4279213641,Linda,Brown,Psychiatry,TN,8,Top 50
NPI9953408559,Raj,Kim,Cardiology,WI,8,Other
NPI6000530730,Raj,Rodriguez,Family Medicine,MI,12,Other
NPI7204424082,Mary,Brown,Orthopedic Surgery,MO,11,Other
NPI6791160106,Susan,White,Neurology,MI,37,Other
NPI8451317323,John,Jackson,Emergency Medicine,FL,16,Other
NPI8756425894,William,Williams,Psychiatry,CA,34,Top 50
NPI6069305191,Michelle,Wilson,Oncology,FL,3,Other
NPI3651004674,Jennifer,Chen,General Surgery,MD,4,Other
NPI1205202228,Lisa,Murphy,Gastroenterology,MI,32,Other
NPI6529629258,Carlos,Taylor,Orthopedic Surgery,OH,10,Top 50
NPI8429219498,Raj,Brown,Emergency Medicine,NC,4,Top 50
NPI5054858249,David,Davis,General Surgery,IL,24,Other
NPI2482355264,Wei,Singh,Gastroenterology,MO,6,Other
NPI3592738656,Joseph,Lee,Internal Medicine,WI,3,Other
NPI5589900365,Patricia,Thomas,Orthopedic Surgery,TX,16,Top 50
NPI8530130969,Michael,Smith,Oncology,MA,22,Other
NPI2545778314,Ahmed,Chen,Rheumatology,OH,21,Other
NPI6509348880,Wei,Hernandez,Neurology,CA,23,Top 50
NPI7780317524,Sarah,Martin,Emergency Medicine,MD,1,Top 50
NPI9424427682,Fatima,Singh,Emergency Medicine,TX,12,Other
NPI2050333224,Wei,Martin,Family Medicine,PA,14,Top 50
NPI9337524706,David,O'Brien,Orthopedic Surgery,CA,12,Other
NPI6413207815,William,Martin,General Surgery,MI,22,Other
NPI7900314286,Kevin,Anderson,Family Medicine,VA,9,Other
NPI1483972386,Michelle,O'Brien,Internal Medicine,OH,25,Top 50
NPI5555333400,James,White,Cardiology,TX,37,Other
NPI6603667066,Fatima,Nguyen,General Surgery,FL,26,Other
NPI3761504558,Patricia,Miller,Endocrinology,MD,16,Other
NPI4884851872,Elena,Patel,Emergency Medicine,IN,17,Other
NPI5988683216,Karen,Martin,Oncology,MD,23,Other
NPI5972931457,Wei,Brown,Emergency Medicine,NJ,29,Other
NPI1376753728,Priya,Davis,Family Medicine,NJ,12,Other
NPI4955335898,Charles,O'Brien,General Surgery,TN,2,Other
NPI2924363392,Linda,Lee,Internal Medicine,WA,28,Top 50
NPI9250255701,Carlos,Chen,Rheumatology,NC,26,Top 50
NPI9789219910,Thomas,Garcia,General Surgery,IL,4,Other
NPI3696822066,Thomas,Miller,Pulmonology,MI,25,Top 50
NPI2576668575,Barbara,Rodriguez,Dermatology,TX,3,Other
NPI2975537358,James,Thomas,Cardiology,NY,26,Other
NPI5299770297,Thomas,Murphy,Family Medicine,MA,30,Other
NPI8870550391,David,Wang,Cardiology,MO,1,Top 20
NPI5500325933,Lisa,Anderson,Internal Medicine,FL,29,Other
NPI1498528555,David,Rodriguez,Neurology,TX,5,Top 20
NPI1358970424,Michelle,Chen,Orthopedic Surgery,TX,11,Other
NPI3046518510,Wei,Brown,General Surgery,TN,28,Other
NPI8584941497,Jessica,Williams,Gastroenterology,OH,14,Other
NPI6593325017,Priya,Brown,Orthopedic Surgery,OH,39,Other
NPI6066620683,Lisa,Nguyen,General Surgery,CA,38,Other
NPI3870726332,Charles,Jones,Cardiology,WI,39,Top 50
NPI9364828644,Karen,Wilson,Internal Medicine,NC,5,Top 50
NPI3980604204,Anita,Hernandez,Psychiatry,TN,7,Other
NPI8514499713,Barbara,Jones,Dermatology,MA,8,Other
NPI9063131660,Richard,Martinez,Cardiology,FL,23,Top 50
NPI5350015118,Linda,Patel,Endocrinology,IN,17,Top 50
NPI9048603424,Karen,Clark,Neurology,VA,30,Top 50
NPI3491229586,Michelle,Moore,Cardiology,WA,12,Other
NPI6925900834,Charles,Nguyen,Family Medicine,PA,8,Top 50
NPI1791673736,Michael,Jackson,Gastroenterology,IN,26,Other
NPI5265407926,Anita,Hernandez,Neurology,MD,25,Top 20
NPI2955986219,Fatima,Jackson,Internal Medicine,NC,27,Other
NPI1564869501,Jessica,Rodriguez,Dermatology,TX,13,Top 50
NPI1033529572,Robert,Johnson,Family Medicine,IN,21,Other
NPI3922769047,Richard,Jackson,Dermatology,MO,37,Top 50
NPI6305775350,Carlos,Johnson,Family Medicine,NJ,24,Other
NPI5097073128,Karen,Murphy,Psychiatry,VA,37,Other
NPI3715923686,Jennifer,Thompson,Family Medicine,PA,17,Top 50
NPI9920800275,Robert,Johnson,Family Medicine,TX,2,Other
NPI9455725358,Michelle,Thompson,Gastroenterology,MD,30,Top 50
NPI2130879761,Jessica,Hernandez,Internal Medicine,MI,18,Other
NPI4735966839,Wei,Johnson,Internal Medicine,IL,2,Other
NPI6839622405,David,Clark,Family Medicine,AZ,6,Top 50
NPI7601417177,John,Taylor,Orthopedic Surgery,CA,13,Other
NPI4297349393,Richard,Smith,General Surgery,TX,8,Top 20
NPI7716536313,Wei,Thompson,Emergency Medicine,PA,27,Other
NPI2117350116,David,Taylor,Family Medicine,MI,24,Other
NPI3986313626,Charles,White,Family Medicine,GA,13,Other
NPI7447898581,Jessica,Jones,Internal Medicine,NY,4,Top 50
NPI6631145111,David,Wang,Psychiatry,GA,4,Other
NPI8534891932,Linda,Thomas,Emergency Medicine,OH,37,Top 50
NPI1421713203,Linda,Thomas,Orthopedic Surgery,NJ,14,Other
NPI2569525460,Linda,Wang,Psychiatry,VA,5,Top 50
NPI1436451240,Priya,Martin,Family Medicine,MO,28,Top 50
NPI2729028018,David,Smith,Pulmonology,IN,34,Top 20
NPI1038545295,Ahmed,Lee,Endocrinology,IL,5,Other
NPI5537892714,Barbara,White,Internal Medicine,MD,37,Top 50
NPI5754829559,Barbara,Martinez,Family Medicine,NJ,29,Other
NPI6921026031,Anita,Garcia,Cardiology,NY,10,Other
NPI4464212024,Raj,Johnson,Internal Medicine,OH,31,Top 50
NPI1028869216,Richard,Singh,Cardiology,MA,17,Top 20
NPI7065020388,William,Smith,Oncology,IN,25,Top 50
NPI1488619789,Priya,Lee,Neurology,GA,5,Top 20
NPI8795533876,John,Singh,Family Medicine,NY,10,Other
NPI1203885889,Jessica,Anderson,Family Medicine,NY,31,Other
NPI5774276108,Karen,Miller,Emergency Medicine,FL,32,Top 50
NPI9054260940,Wei,Kim,General Surgery,AZ,1,Top 50
NPI6152406181,Patricia,Thompson,Rheumatology,NJ,9,Other
NPI6475750718,James,Smith,Family Medicine,MI,24,Top 50
NPI7134497634,William,Lee,Gastroenterology,AZ,36,Other
NPI2101679629,Patricia,Smith,Internal Medicine,IN,27,Other
NPI7074343906,Sarah,Taylor,Family Medicine,TN,28,Top 50
NPI8923193937,Anita,Martinez,Gastroenterology,FL,16,Other
NPI9767987494,William,Singh,Rheumatology,VA,3,Other
NPI4987467993,Jessica,Clark,Orthopedic Surgery,MO,30,Other
NPI4100543664,Michael,Patel,Psychiatry,TN,32,Other
NPI7779786539,Mary,Nguyen,Neurology,OH,18,Other
NPI5885868592,Priya,Smith,Family Medicine,GA,20,Other
NPI3315741889,Linda,Johnson,Internal Medicine,MO,10,Other
NPI2549420964,Thomas,Chen,Family Medicine,CA,18,Other
NPI2532072705,Wei,Thomas,Internal Medicine,NJ,10,Other
NPI5132593328,Elena,Jackson,Gastroenterology,FL,17,Other
NPI2531119650,Jennifer,Patel,Family Medicine,MO,6,Top 50
NPI1177470496,Karen,Anderson,Rheumatology,CA,24,Other
NPI1468798974,Anita,Patel,General Surgery,CA,10,Top 50
NPI9368960894,Joseph,Kim,General Surgery,OH,29,Top 50
NPI1656652070,Mary,Davis,Oncology,PA,21,Top 50
NPI1658626215,Linda,Patel,Oncology,MI,35,Top 50
NPI5060696009,Fatima,Garcia,Emergency Medicine,IL,9,Other
NPI3205902540,Fatima,Martinez,Neurology,GA,11,Top 50
NPI9664244668,Barbara,Chen,General Surgery,VA,10,Other
NPI9198872554,Jennifer,Clark,Gastroenterology,VA,25,Other
NPI4642689237,William,Johnson,General Surgery,MD,5,Top 50
NPI5038583674,Linda,White,Internal Medicine,MI,27,Top 50
NPI4376022877,Ahmed,Lee,Rheumatology,VA,32,Other
NPI1340795049,Elena,Thompson,Internal Medicine,AZ,27,Other
NPI3635621552,Mary,Chen,Neurology,NY,6,Top 50
NPI2104061226,Ahmed,Williams,Emergency Medicine,AZ,20,Top 50
NPI1921332970,Ahmed,Nguyen,Endocrinology,MO,21,Top 50
NPI6047754155,Charles,Wilson,Oncology,OH,16,Top 20
NPI1888883719,Raj,Jones,Cardiology,NY,19,Top 20
NPI1926381914,Mary,Hernandez,Emergency Medicine,OH,30,Other
NPI5324623432,Wei,Smith,Internal Medicine,IL,33,Top 20
NPI4980541285,Patricia,Thompson,Cardiology,VA,12,Top 50
NPI2238713066,Raj,Martin,Family Medicine,MO,13,Other
NPI1040041223,Joseph,Jackson,Cardiology,VA,9,Other
NPI2736769975,John,Smith,Oncology,FL,16,Other
NPI3123030287,Ahmed,Nguyen,Endocrinology,OH,22,Other
NPI8202235991,Ahmed,Johnson,Family Medicine,AZ,28,Other
NPI9238945153,Jessica,Davis,Cardiology,OH,11,Top 20
NPI4653499576,Barbara,Taylor,Internal Medicine,VA,9,Top 50
NPI4645240538,James,Kim,Family Medicine,AZ,2,Other
NPI7412331553,Anita,Thomas,Cardiology,OH,4,Other
NPI6642298140,Jennifer,Wang,Orthopedic Surgery,WA,3,Other
NPI2657261680,Elena,Rodriguez,Internal Medicine,GA,9,Top 50
NPI1969202100,Karen,Nguyen,Family Medicine,FL,28,Other
NPI4938507015,Wei,Johnson,Family Medicine,GA,31,Top 50
NPI6083455267,Wei,Chen,Family Medicine,NC,38,Other
NPI2248368428,Elena,Miller,Cardiology,CA,22,Other
NPI3639461440,Mary,Murphy,Internal Medicine,MO,18,Top 50
NPI3753486967,Michelle,Clark,Dermatology,NJ,36,Top 50
NPI3351683808,Mary,Williams,Cardiology,CA,6,Other
NPI5146851396,Michelle,Williams,Endocrinology,MO,25,Other
NPI6877572258,Linda,Patel,Endocrinology,MO,32,Top 20
NPI5584508952,Elena,Jones,Family Medicine,CA,20,Other
NPI2813109060,John,Clark,Oncology,NY,11,Top 50
NPI1926451423,Jessica,Martin,General Surgery,GA,25,Other
NPI8396834165,Thomas,Lee,Dermatology,NJ,39,Top 50
NPI5313742143,Kevin,Singh,Family Medicine,MA,10,Other
NPI1559252657,Patricia,Miller,Family Medicine,NC,22,Top 50
NPI3323093496,Mary,Martin,Internal Medicine,WA,2,Other
NPI8236304004,Lisa,Clark,Oncology,CA,10,Top 50
NPI7765536922,Mary,Smith,Orthopedic Surgery,AZ,30,Other
NPI8882349695,Fatima,Garcia,Internal Medicine,MD,20,Other
NPI6418790433,Mary,Jones,Family Medicine,NJ,8,Top 50
NPI4806153408,Michelle,Anderson,Pulmonology,MI,14,Top 50
NPI4839714977,Sarah,Brown,Cardiology,IL,5,Top 50
NPI2746000400,Kevin,Garcia,Oncology,WI,31,Other
NPI6857190653,Patricia,Singh,Orthopedic Surgery,CA,37,Other
NPI6265618804,William,Hernandez,Internal Medicine,IL,5,Other
NPI2393779702,Jessica,Anderson,Cardiology,FL,10,Other
NPI8970966279,James,Thomas,Internal Medicine,MO,34,Other
NPI4316213829,Patricia,Clark,Pulmonology,MI,35,Other
NPI1447648889,Barbara,Moore,Cardiology,MD,30,Top 50
NPI3950928286,Ahmed,Moore,Internal Medicine,AZ,28,Top 20
NPI8828710431,Priya,O'Brien,Cardiology,VA,34,Top 50
NPI9252609271,John,Johnson,Internal Medicine,NJ,15,Other
NPI5413585754,Mary,Moore,Psychiatry,PA,35,Top 50
NPI9607059459,Lisa,Nguyen,Internal Medicine,VA,35,Other
NPI8877176282,David,Jackson,Psychiatry,AZ,9,Top 50
NPI8427076453,Fatima,Murphy,Psychiatry,WI,3,Other
NPI8737390581,William,Murphy,Dermatology,NJ,21,Top 20
NPI4436878709,David,Anderson,Cardiology,MD,30,Other
NPI7808220466,Michael,Wang,Dermatology,MD,34,Top 20
NPI6196051027,Linda,Davis,Psychiatry,NJ,6,Top 50
NPI7477156014,Priya,Davis,Internal Medicine,NC,15,Top 20
NPI2600074968,Joseph,Clark,General Surgery,FL,30,Other
NPI7582545205,Lisa,Smith,Dermatology,IL,3,Other
NPI9618331906,John,Anderson,Family Medicine,MO,29,Top 20
NPI3723969901,Thomas,Thompson,Pulmonology,FL,12,Other
NPI9875451914,Jessica,Thomas,Oncology,GA,1,Other
NPI4405384132,Anita,Singh,Psychiatry,AZ,10,Other
NPI2797511472,Richard,Davis,Emergency Medicine,PA,29,Other
NPI2010576068,Patricia,Martin,Family Medicine,WI,34,Top 50
NPI8064657218,Wei,Brown,General Surgery,WA,4,Other
NPI5993428602,Robert,Miller,Family Medicine,CA,19,Other
NPI3764181642,Anita,Garcia,General Surgery,PA,8,Other
NPI6476053327,Susan,Nguyen,Psychiatry,MA,27,Top 50
NPI3988910690,Fatima,Miller,Internal Medicine,MO,31,Other
NPI5035219815,Lisa,Patel,Family Medicine,MD,38,Top 50
NPI8763977130,Jessica,Anderson,Family Medicine,MO,14,Other
NPI7013498291,Karen,Martin,Cardiology,TX,12,Top 20
NPI7861616556,Jennifer,Murphy,Cardiology,MA,13,Top 50
NPI6251441962,John,Singh,Family Medicine,FL,30,Other
NPI9922582438,Ahmed,Smith,Cardiology,TX,18,Other
NPI3172690596,Kevin,Chen,Internal Medicine,AZ,1,Top 20
NPI3360620446,Elena,Rodriguez,Orthopedic Surgery,MI,37,Other
NPI1833030448,Barbara,Patel,Orthopedic Surgery,WA,5,Other
NPI5986175518,David,Garcia,Orthopedic Surgery,MO,37,Other
NPI6520233127,David,White,Family Medicine,TX,7,Other
NPI7533654155,Priya,White,Gastroenterology,NJ,21,Top 20
NPI4019013333,Charles,White,Psychiatry,IN,13,Top 50
NPI1110311216,Fatima,Thomas,Internal Medicine,NC,27,Other
NPI6690065833,Kevin,Jackson,Internal Medicine,NJ,16,Top 50
NPI9988259431,Susan,White,Orthopedic Surgery,MI,15,Other
NPI3650944183,Lisa,Hernandez,Internal Medicine,MD,19,Other
NPI2655410072,Sarah,Chen,Endocrinology,CA,38,Other
NPI3535902620,Kevin,Kim,Emergency Medicine,MO,10,Top 50
NPI4828739272,David,Martinez,Cardiology,IN,9,Other
NPI3258216360,Jennifer,Thompson,Cardiology,IN,3,Other
NPI4122640227,Susan,Nguyen,Emergency Medicine,NC,29,Top 20
NPI6743860646,Charles,Moore,Psychiatry,NJ,27,Top 50
NPI4105251881,Kevin,Kim,Internal Medicine,GA,24,Top 50
NPI4564530502,Carlos,Brown,Gastroenterology,IL,1,Top 50
NPI1360281365,James,Taylor,Gastroenterology,MO,31,Other
NPI9261482513,Sarah,Kim,Rheumatology,NJ,32,Other
NPI4661973638,Robert,Murphy,Psychiatry,MA,37,Top 50
NPI3953291643,David,White,Family Medicine,FL,37,Other
NPI1778357766,Kevin,White,Cardiology,TN,11,Top 50
NPI6707648937,Michelle,Anderson,Psychiatry,AZ,28,Top 50
NPI8774424551,Robert,Kim,Family Medicine,WI,16,Top 20
NPI1370378800,Robert,Anderson,Neurology,FL,24,Other
NPI2307452206,Wei,Johnson,Dermatology,NJ,13,Other
NPI2317508459,Richard,Davis,Cardiology,NJ,26,Other
NPI6420473697,Richard,Thompson,Psychiatry,NJ,38,Other
NPI9291074523,Raj,Rodriguez,Internal Medicine,TX,26,Top 50
NPI4939915303,Anita,Moore,Gastroenterology,MI,36,Other
NPI4094258033,Anita,Singh,Family Medicine,IL,37,Top 50
NPI7892566169,Fatima,Chen,Psychiatry,WA,5,Top 50
NPI7683121555,Michelle,Martin,Rheumatology,PA,38,Other
NPI3220805253,Priya,Wang,Family Medicine,NC,32,Top 20
NPI2447437260,Raj,Thomas,Neurology,WA,17,Top 50
NPI4220290291,Thomas,Hernandez,Orthopedic Surgery,TX,24,Top 50
NPI7980430529,Mary,Nguyen,Psychiatry,TN,25,Top 50
NPI7255570508,Carlos,White,General Surgery,MA,31,Other
NPI6992683356,Anita,Jackson,Emergency Medicine,TX,32,Top 50
NPI8464857040,Barbara,Thomas,Family Medicine,TX,4,Other
NPI3494172810,Richard,Clark,Endocrinology,MO,1,Other
NPI4057153528,Karen,Johnson,Cardiology,IL,10,Other
NPI1381055055,Lisa,Johnson,General Surgery,MO,21,Other
NPI8818711981,Wei,Moore,Endocrinology,MI,34,Other
NPI6241867613,Susan,Johnson,Family Medicine,OH,26,Top 50
NPI3683100626,Elena,Anderson,Internal Medicine,IL,6,Top 50
NPI1624748782,Carlos,Lee,Gastroenterology,AZ,28,Other
NPI7510685527,Kevin,Thomas,Family Medicine,FL,19,Other
NPI7738637675,Karen,Miller,Orthopedic Surgery,NC,15,Other
NPI6995607868,John,Wilson,Internal Medicine,OH,31,Top 20
NPI2834028738,Elena,Thompson,Emergency Medicine,NY,12,Other
